eps,minpts,spread,time_tol,n_triplets,val_xy_rmse
0.15,3,0.25,0.3,1311,0.1055816148378014
0.2,3,0.25,0.3,1379,0.10303693582447562
0.25,3,0.25,0.3,1395,0.10646792202818785
0.3,3,0.3,0.35,1405,0.11739240260726819
0.35,3,0.35,0.4,1407,0.11534191542815501
0.3,4,0.3,0.35,1376,0.11552853095133456
0.35,4,0.35,0.4,1377,0.1440929851619426
0.25,3,0.4,0.5,1410,0.12031259151405876
0.3,3,0.4,0.5,1409,0.12652094424100832
0.2,3,0.4,0.5,1385,0.10265896669068045
0.2,3,0.45,0.5,1385,0.10243783315411986
0.2,3,0.45,0.55,1385,0.10243783315411986
0.2,3,0.5,0.6,1385,0.10243783315411986
